"country","session_rank","avg_session_duration"
LU,107,221.0
BN,60,66.15384615384616
MA,68,403.15384615384613
GT,142,140.14285714285714
CZ,19,3358.050139275766
FR,298,475.6666666666667
DO,14,4448.433116413594
KR,509,814.6666666666666
ID,151,328.234375
AU,188,601.0
NZ,196,67.0
MU,144,1.0
BE,114,661.6666666666666
CN,199,714.3333333333334
MX,385,979.0
NE,94,28.5625
TW,123,831.3611111111111
SI,40,731.5384615384615
ZA,317,1284.0
RO,396,0.0
US,1798,105.0
SV,178,991.0
TH,225,60.0
YE,295,3.0
PR,168,261.2
EC,141,102.77777777777777
CV,107,4.0
MM,60,6625.64367816092
IN,432,43.0
AM,16,2628.128
DE,297,424.2
BB,68,520.5
LY,19,2223.31320754717
KG,64,490.0
AR,138,435.5272727272727
NI,38,1401.9183673469388
CO,430,358.0
BD,283,0.0
LR,93,0.0
MY,232,1563.0
JP,904,278.6666666666667
AF,94,13022.633333333333
QA,177,260.0
PG,277,1590.0
SE,80,452.8
US,849,198.77777777777777
SN,30,1105.5912408759125
RE,171,33.5
PA,74,342.0
PH,16,2415.9293779056898
RS,107,516.3333333333334
TT,262,0.0
SG,68,1714.2888888888888
VI,34,649.2
US,1436,65.0
SL,10,9210.161643835616
TR,89,1183.861111111111
RU,308,427.0
KR,871,194.0
DJ,44,1.6333333333333333
AO,4,9143.669291338583
BR,475,85.0
KZ,206,65.0
GH,361,30.0
HU,154,1634.5
ES,274,743.6666666666666
GE,120,864.5555555555555
KE,84,54.0
AU,550,70.0
KN,26,2620.0
GN,54,10341.223776223776
JP,1349,75.0
MD,102,75.0
CR,288,1464.0
SK,60,661.074074074074
VN,20,872.0785653287788
US,459,257.1190476190476
UA,64,1761.1914893617022
TJ,245,14.0
VE,90,1.5
KI,44,11.0
NL,4,998.3260619977037
BS,178,19.0
JP,274,688.5
MH,30,149.28571428571428
IT,264,421.625
GB,78,1972.702479338843
FI,251,0.0
AW,168,561.0
CA,450,176.5
NG,74,2293.4950980392155
BG,102,1273.2222222222222
CL,211,411.8
SO,20,123.20879120879121
